carrier,year,timestamp,open,high,low,close,volume
512100.SH,2021,2021-01-04 10:47:00+08:00,0.951,0.951,0.95,0.95,0.0
512100.SH,2021,2021-01-04 10:53:00+08:00,0.95,0.951,0.95,0.951,0.0
512100.SH,2021,2021-01-04 10:59:00+08:00,0.951,0.952,0.951,0.951,0.0
512100.SH,2022,2022-01-04 10:41:00+08:00,1.157,1.157,1.156,1.157,0.0
512100.SH,2022,2022-01-04 11:07:00+08:00,1.159,1.159,1.158,1.159,0.0
512100.SH,2022,2022-01-04 13:33:00+08:00,1.166,1.166,1.165,1.165,0.0
512100.SH,2023,2023-03-15 14:49:00+08:00,2.713,2.714,2.713,2.714,0.0
512100.SH,2023,2023-03-22 10:29:00+08:00,2.727,2.728,2.727,2.728,0.0
512100.SH,2023,2023-03-29 13:15:00+08:00,2.718,2.719,2.718,2.719,0.0
512100.SH,2024,2024-01-10 14:15:00+08:00,2.229,2.229,2.227,2.229,0.0
512100.SH,2024,2024-01-10 14:17:00+08:00,2.227,2.227,2.226,2.226,0.0
512100.SH,2024,2024-01-12 13:39:00+08:00,2.253,2.253,2.252,2.252,0.0
512100.SH,2025,2025-12-01 13:26:00+08:00,2.981,2.982,2.981,2.982,0.0
512100.SH,2025,2025-12-02 13:36:00+08:00,2.956,2.956,2.955,2.955,0.0
588000.SH,2021,2021-08-16 14:20:00+08:00,1.604,1.607,1.604,1.605,0.0
588000.SH,2022,2022-12-06 10:01:00+08:00,1.047,1.048,1.047,1.048,0.0
588000.SH,2022,2022-12-06 10:02:00+08:00,1.047,1.048,1.047,1.048,0.0
588000.SH,2024,2024-09-27 10:24:00+08:00,0.753,0.753,0.752,0.753,0.0
588000.SH,2024,2024-09-27 10:25:00+08:00,0.753,0.753,0.752,0.753,0.0
588000.SH,2024,2024-09-27 10:26:00+08:00,0.753,0.753,0.752,0.753,0.0
